Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Max Scherzer (10828579),Max Scherzer,10828579,P,14500,BAL@WAS 06/21/2018 07:05PM ET,WAS,27.97
SP,Johnny Cueto (10829013),Johnny Cueto,10829013,P,11800,SD@SF 06/21/2018 10:15PM ET,SF,23
SP,Robbie Ray (10829014),Robbie Ray,10829014,P,11300,ARI@PIT 06/21/2018 07:05PM ET,ARI,17.41
SP,Miles Mikolas (10829016),Miles Mikolas,10829016,P,10900,STL@MIL 06/21/2018 08:10PM ET,STL,17.27
SP,J.A. Happ (10829015),J.A. Happ,10829015,P,10900,TOR@LAA 06/21/2018 10:07PM ET,TOR,20.97
SP,Stephen Strasburg (10829017),Stephen Strasburg,10829017,P,10800,BAL@WAS 06/21/2018 07:05PM ET,WAS,21.41
SP,Tyler Skaggs (10828580),Tyler Skaggs,10828580,P,10700,TOR@LAA 06/21/2018 10:07PM ET,LAA,18.96
SP,Dylan Bundy (10829018),Dylan Bundy,10829018,P,10500,BAL@WAS 06/21/2018 07:05PM ET,BAL,18.82
SP,Jack Flaherty (10829019),Jack Flaherty,10829019,P,10200,STL@MIL 06/21/2018 08:10PM ET,STL,17.06
SP,Patrick Corbin (10829020),Patrick Corbin,10829020,P,9900,ARI@PIT 06/21/2018 07:05PM ET,ARI,22.68
SP,Madison Bumgarner (10828581),Madison Bumgarner,10828581,P,9400,SD@SF 06/21/2018 10:15PM ET,SF,8.2
SP,Michael Wacha (10829021),Michael Wacha,10829021,P,9400,STL@MIL 06/21/2018 08:10PM ET,STL,16.01
SP,Zack Greinke (10829022),Zack Greinke,10829022,P,9300,ARI@PIT 06/21/2018 07:05PM ET,ARI,18.29
SP,Jaime Barria (10829023),Jaime Barria,10829023,P,9200,TOR@LAA 06/21/2018 10:07PM ET,LAA,14.04
SP,Trevor Cahill (10829024),Trevor Cahill,10829024,P,8900,Postponed,OAK,18.44
SP,Gio Gonzalez (10829026),Gio Gonzalez,10829026,P,8800,BAL@WAS 06/21/2018 07:05PM ET,WAS,16.54
SP,Andrew Heaney (10829025),Andrew Heaney,10829025,P,8800,TOR@LAA 06/21/2018 10:07PM ET,LAA,17.20
SP,Jimmy Nelson (10829027),Jimmy Nelson,10829027,P,8700,STL@MIL 06/21/2018 08:10PM ET,MIL,0
SP,Clay Buchholz (10829028),Clay Buchholz,10829028,P,8500,ARI@PIT 06/21/2018 07:05PM ET,ARI,14.69
SP,Joe Musgrove (10829029),Joe Musgrove,10829029,P,8500,ARI@PIT 06/21/2018 07:05PM ET,PIT,16.8
SP,Jameson Taillon (10829030),Jameson Taillon,10829030,P,8400,ARI@PIT 06/21/2018 07:05PM ET,PIT,15.11
SP,Jon Lester (10829031),Jon Lester,10829031,P,8300,CHC@CIN 06/21/2018 07:10PM ET,CHC,16.16
SP,Joey Lucchesi (10829033),Joey Lucchesi,10829033,P,8100,SD@SF 06/21/2018 10:15PM ET,SD,14.38
RP,Tyler Glasnow (10829032),Tyler Glasnow,10829032,P,8100,ARI@PIT 06/21/2018 07:05PM ET,PIT,5.64
SP,Tanner Roark (10829034),Tanner Roark,10829034,P,8000,BAL@WAS 06/21/2018 07:05PM ET,WAS,14.18
SP,Carlos Martinez (10828582),Carlos Martinez,10828582,P,8000,STL@MIL 06/21/2018 08:10PM ET,STL,15.07
SP,Luke Weaver (10829035),Luke Weaver,10829035,P,8000,STL@MIL 06/21/2018 08:10PM ET,STL,9.77
RP,Frankie Montas (10829036),Frankie Montas,10829036,P,7900,Postponed,OAK,17.87
SP,Jose Quintana (10829038),Jose Quintana,10829038,P,7800,CHC@CIN 06/21/2018 07:10PM ET,CHC,15.11
SP,Yu Darvish (10829039),Yu Darvish,10829039,P,7800,CHC@CIN 06/21/2018 07:10PM ET,CHC,13.92
SP,Tyson Ross (10828583),Tyson Ross,10828583,P,7800,SD@SF 06/21/2018 10:15PM ET,SD,15.17
SP,Freddy Peralta (10829040),Freddy Peralta,10829040,P,7800,STL@MIL 06/21/2018 08:10PM ET,MIL,25.62
SP,Garrett Richards (10829037),Garrett Richards,10829037,P,7800,TOR@LAA 06/21/2018 10:07PM ET,LAA,15.74
SP,Chase Anderson (10829041),Chase Anderson,10829041,P,7700,STL@MIL 06/21/2018 08:10PM ET,MIL,11.84
SP,Kyle Hendricks (10828584),Kyle Hendricks,10828584,P,7600,CHC@CIN 06/21/2018 07:10PM ET,CHC,15.10
SP,Jeremy Hellickson (10829042),Jeremy Hellickson,10829042,P,7500,BAL@WAS 06/21/2018 07:05PM ET,WAS,14.03
SP,Dinelson Lamet (10829043),Dinelson Lamet,10829043,P,7400,SD@SF 06/21/2018 10:15PM ET,SD,0
SP,Junior Guerra (10828586),Junior Guerra,10828586,P,7400,STL@MIL 06/21/2018 08:10PM ET,MIL,16.13
RP,Trevor Williams (10829044),Trevor Williams,10829044,P,7400,ARI@PIT 06/21/2018 07:05PM ET,PIT,12.64
SP,Sam Gaviglio (10829046),Sam Gaviglio,10829046,P,7200,TOR@LAA 06/21/2018 10:07PM ET,TOR,12.6
SP,Zack Godley (10828587),Zack Godley,10828587,P,7200,ARI@PIT 06/21/2018 07:05PM ET,ARI,14.49
SP,Nick Kingham (10829045),Nick Kingham,10829045,P,7200,ARI@PIT 06/21/2018 07:05PM ET,PIT,17.55
SP,Carlos Rodon (10829047),Carlos Rodon,10829047,P,7100,Postponed,CWS,12.98
SP,Andrew Suarez (10829048),Andrew Suarez,10829048,P,7100,SD@SF 06/21/2018 10:15PM ET,SF,13.56
SP,Chris Stratton (10829049),Chris Stratton,10829049,P,7100,SD@SF 06/21/2018 10:15PM ET,SF,13.31
SP,Mike Montgomery (10829050),Mike Montgomery,10829050,P,7000,CHC@CIN 06/21/2018 07:10PM ET,CHC,5.39
SP,Adam Wainwright (10829051),Adam Wainwright,10829051,P,6900,STL@MIL 06/21/2018 08:10PM ET,STL,9.38
SP,Luis Castillo (10829052),Luis Castillo,10829052,P,6800,CHC@CIN 06/21/2018 07:10PM ET,CIN,11.75
SP,Tyler Mahle (10829054),Tyler Mahle,10829054,P,6700,CHC@CIN 06/21/2018 07:10PM ET,CIN,13.74
SP,Dereck Rodriguez (10829058),Dereck Rodriguez,10829058,P,6700,SD@SF 06/21/2018 10:15PM ET,SF,11.57
SP,Alex Reyes (10829056),Alex Reyes,10829056,P,6700,STL@MIL 06/21/2018 08:10PM ET,STL,9.4
RP,Nick Tropeano (10829057),Nick Tropeano,10829057,P,6700,TOR@LAA 06/21/2018 10:07PM ET,LAA,11.91
SP,Chad Kuhl (10829053),Chad Kuhl,10829053,P,6700,ARI@PIT 06/21/2018 07:05PM ET,PIT,13.41
SP,Taijuan Walker (10829055),Taijuan Walker,10829055,P,6700,ARI@PIT 06/21/2018 07:05PM ET,ARI,8.42
SP,Kevin Gausman (10828588),Kevin Gausman,10828588,P,6600,BAL@WAS 06/21/2018 07:05PM ET,BAL,14.70
SP,Andrew Triggs (10829060),Andrew Triggs,10829060,P,6600,Postponed,OAK,12.02
SP,Matt Shoemaker (10829059),Matt Shoemaker,10829059,P,6600,TOR@LAA 06/21/2018 10:07PM ET,LAA,13.95
SP,Alec Hansen (10829061),Alec Hansen,10829061,P,6500,Postponed,CWS,0
SP,Anthony DeSclafani (10829066),Anthony DeSclafani,10829066,P,6500,CHC@CIN 06/21/2018 07:10PM ET,CIN,14.48
SP,Cal Quantrill (10829062),Cal Quantrill,10829062,P,6500,SD@SF 06/21/2018 10:15PM ET,SD,0
SP,Jordan Lyles (10829064),Jordan Lyles,10829064,P,6500,SD@SF 06/21/2018 10:15PM ET,SD,6.93
SP,Brent Suter (10829065),Brent Suter,10829065,P,6500,STL@MIL 06/21/2018 08:10PM ET,MIL,12.03
SP,Alex Meyer (10829063),Alex Meyer,10829063,P,6500,TOR@LAA 06/21/2018 10:07PM ET,LAA,0
SP,Drew Smyly (10829067),Drew Smyly,10829067,P,6400,CHC@CIN 06/21/2018 07:10PM ET,CHC,0
SP,Aaron Sanchez (10828589),Aaron Sanchez,10828589,P,6400,TOR@LAA 06/21/2018 10:07PM ET,TOR,12.23
SP,Chris Bassitt (10828590),Chris Bassitt,10828590,P,6300,Postponed,OAK,14.18
SP,Sean Manaea (10829068),Sean Manaea,10829068,P,6300,Postponed,OAK,16.49
SP,Tyler Chatwood (10829069),Tyler Chatwood,10829069,P,6300,CHC@CIN 06/21/2018 07:10PM ET,CHC,11.47
SP,Michael Kopech (10829070),Michael Kopech,10829070,P,6200,Postponed,CWS,0
SP,Jharel Cotton (10829072),Jharel Cotton,10829072,P,6200,Postponed,OAK,0
SP,Clayton Richard (10829071),Clayton Richard,10829071,P,6200,SD@SF 06/21/2018 10:15PM ET,SD,14.14
SP,Ivan Nova (10828591),Ivan Nova,10828591,P,6200,ARI@PIT 06/21/2018 07:05PM ET,PIT,12.74
SP,Joe Ross (10829074),Joe Ross,10829074,P,6100,BAL@WAS 06/21/2018 07:05PM ET,WAS,0
SP,Derek Holland (10829073),Derek Holland,10829073,P,6100,SD@SF 06/21/2018 10:15PM ET,SF,13.19
SP,Daniel Mengden (10829076),Daniel Mengden,10829076,P,6000,Postponed,OAK,13.02
SP,Brandon Woodruff (10829075),Brandon Woodruff,10829075,P,6000,STL@MIL 06/21/2018 08:10PM ET,MIL,6.88
OF,Mike Trout (10828594),Mike Trout,10828594,OF,6000,TOR@LAA 06/21/2018 10:07PM ET,LAA,11.90
SP,Erick Fedde (10829081),Erick Fedde,10829081,P,5900,BAL@WAS 06/21/2018 07:05PM ET,WAS,9.4
SP,Jefry Rodriguez (10829082),Jefry Rodriguez,10829082,P,5900,BAL@WAS 06/21/2018 07:05PM ET,WAS,10.68
SP,Reynaldo Lopez (10829077),Reynaldo Lopez,10829077,P,5900,Postponed,CWS,12.66
SP,Jhoulys Chacin (10829078),Jhoulys Chacin,10829078,P,5900,STL@MIL 06/21/2018 08:10PM ET,MIL,13.97
SP,Marcus Stroman (10829079),Marcus Stroman,10829079,P,5900,TOR@LAA 06/21/2018 10:07PM ET,TOR,6.51
SP,Shelby Miller (10829080),Shelby Miller,10829080,P,5900,ARI@PIT 06/21/2018 07:05PM ET,ARI,0
SP,James Shields (10829083),James Shields,10829083,P,5600,Postponed,CWS,11.17
SP,Amir Garrett (10829084),Amir Garrett,10829084,P,5600,CHC@CIN 06/21/2018 07:10PM ET,CIN,3.91
SP,Matt Koch (10829085),Matt Koch,10829085,P,5600,ARI@PIT 06/21/2018 07:05PM ET,ARI,10.16
SP,Dylan Covey (10829087),Dylan Covey,10829087,P,5500,Postponed,CWS,15.99
SP,Zach Davies (10829086),Zach Davies,10829086,P,5500,STL@MIL 06/21/2018 08:10PM ET,MIL,9.64
SP,Wade Miley (10829089),Wade Miley,10829089,P,5400,STL@MIL 06/21/2018 08:10PM ET,MIL,9.72
SP,Marco Estrada (10829088),Marco Estrada,10829088,P,5400,TOR@LAA 06/21/2018 10:07PM ET,TOR,12.2
SP,Jaime Garcia (10829090),Jaime Garcia,10829090,P,5400,TOR@LAA 06/21/2018 10:07PM ET,TOR,8.68
1B,Paul Goldschmidt (10828595),Paul Goldschmidt,10828595,1B,5400,ARI@PIT 06/21/2018 07:05PM ET,ARI,9.15
OF,Bryce Harper (10828596),Bryce Harper,10828596,OF,5300,BAL@WAS 06/21/2018 07:05PM ET,WAS,8.70
SP,Hector Santiago (10829093),Hector Santiago,10829093,P,5300,Postponed,CWS,5.00
SP,Paul Blackburn (10829094),Paul Blackburn,10829094,P,5300,Postponed,OAK,4.12
SP,Corbin Burnes (10829091),Corbin Burnes,10829091,P,5300,STL@MIL 06/21/2018 08:10PM ET,MIL,0
RP,Austin Gomber (10829092),Austin Gomber,10829092,P,5300,STL@MIL 06/21/2018 08:10PM ET,STL,2.14
SP,Yefry Ramirez (10829096),Yefry Ramirez,10829096,P,5200,BAL@WAS 06/21/2018 07:05PM ET,BAL,11.55
OF,Khris Davis (10828597),Khris Davis,10828597,OF,5200,Postponed,OAK,8.98
SP,Miguel Gonzalez (10829095),Miguel Gonzalez,10829095,P,5200,Postponed,CWS,-4.75
RP,Hunter Harvey (10829097),Hunter Harvey,10829097,P,5100,BAL@WAS 06/21/2018 07:05PM ET,BAL,0
SP,Alex Cobb (10829101),Alex Cobb,10829101,P,5100,BAL@WAS 06/21/2018 07:05PM ET,BAL,5.86
SP,Daniel Gossett (10829100),Daniel Gossett,10829100,P,5100,Postponed,OAK,6.07
SP,Rookie Davis (10829099),Rookie Davis,10829099,P,5100,CHC@CIN 06/21/2018 07:10PM ET,CIN,0
SP,Justin Nicolino (10829102),Justin Nicolino,10829102,P,5100,CHC@CIN 06/21/2018 07:10PM ET,CIN,0
SP,Ty Blach (10829098),Ty Blach,10829098,P,5100,SD@SF 06/21/2018 10:15PM ET,SF,6.14
1B,Jose Martinez (10828598),Jose Martinez,10828598,1B,5100,STL@MIL 06/21/2018 08:10PM ET,STL,8.26
SP,Kendall Graveman (10829107),Kendall Graveman,10829107,P,5000,Postponed,OAK,6.06
3B,Kris Bryant (10828600),Kris Bryant,10828600,3B,5000,CHC@CIN 06/21/2018 07:10PM ET,CHC,9.14
SP,Jeff Samardzija (10829108),Jeff Samardzija,10829108,P,5000,SD@SF 06/21/2018 10:15PM ET,SF,5.96
1B,Eric Thames (10828599),Eric Thames,10828599,1B,5000,STL@MIL 06/21/2018 08:10PM ET,MIL,7.90
OF,Christian Yelich (10828602),Christian Yelich,10828602,OF,5000,STL@MIL 06/21/2018 08:10PM ET,MIL,9.26
RP,Aaron Wilkerson (10829103),Aaron Wilkerson,10829103,P,5000,STL@MIL 06/21/2018 08:10PM ET,MIL,0
RP,JC Ramirez (10829104),JC Ramirez,10829104,P,5000,TOR@LAA 06/21/2018 10:07PM ET,LAA,0.3
SP,Luis Escobar (10829105),Luis Escobar,10829105,P,5000,ARI@PIT 06/21/2018 07:05PM ET,PIT,0
SP,Mitch Keller (10829106),Mitch Keller,10829106,P,5000,ARI@PIT 06/21/2018 07:05PM ET,PIT,0
SP,A.J. Puk (10829109),A.J. Puk,10829109,P,4900,Postponed,OAK,0
RP,Chris Volstad (10829111),Chris Volstad,10829111,P,4900,Postponed,CWS,2.97
3B,Eugenio Suarez (10828601),Eugenio Suarez,10828601,3B,4900,CHC@CIN 06/21/2018 07:10PM ET,CIN,9.89
SP,Phil Hughes (10829112),Phil Hughes,10829112,P,4900,SD@SF 06/21/2018 10:15PM ET,SD,2.35
OF,Lorenzo Cain (10828603),Lorenzo Cain,10828603,OF,4900,STL@MIL 06/21/2018 08:10PM ET,MIL,8.87
SP,Ryan Helsley (10829110),Ryan Helsley,10829110,P,4900,STL@MIL 06/21/2018 08:10PM ET,STL,0
1B,Joey Votto (10828605),Joey Votto,10828605,1B,4800,CHC@CIN 06/21/2018 07:10PM ET,CIN,8.10
SP,Sal Romano (10829114),Sal Romano,10829114,P,4800,CHC@CIN 06/21/2018 07:10PM ET,CIN,9.72
SP,Cody Reed (10829115),Cody Reed,10829115,P,4800,CHC@CIN 06/21/2018 07:10PM ET,CIN,3.91
RP,Matt Strahm (10829116),Matt Strahm,10829116,P,4800,SD@SF 06/21/2018 10:15PM ET,SD,5.15
1B,Jesus Aguilar (10828607),Jesus Aguilar,10828607,1B,4800,STL@MIL 06/21/2018 08:10PM ET,MIL,7.78
OF,David Peralta (10828604),David Peralta,10828604,OF,4800,ARI@PIT 06/21/2018 07:05PM ET,ARI,8.33
SP,Rubby De La Rosa (10829113),Rubby De La Rosa,10829113,P,4800,ARI@PIT 06/21/2018 07:05PM ET,ARI,0
SS,Trea Turner (10828608),Trea Turner,10828608,SS,4700,BAL@WAS 06/21/2018 07:05PM ET,WAS,8.64
SP,David Hess (10829119),David Hess,10829119,P,4700,BAL@WAS 06/21/2018 07:05PM ET,BAL,8.6
SP,Matt Harvey (10828592),Matt Harvey,10828592,P,4700,CHC@CIN 06/21/2018 07:10PM ET,CIN,6.76
1B,Anthony Rizzo (10828606),Anthony Rizzo,10828606,1B,4700,CHC@CIN 06/21/2018 07:10PM ET,CHC,8.39
SP,Brandon Finnegan (10829118),Brandon Finnegan,10829118,P,4700,CHC@CIN 06/21/2018 07:10PM ET,CIN,3.06
OF,Tommy Pham (10828609),Tommy Pham,10828609,OF,4700,STL@MIL 06/21/2018 08:10PM ET,STL,8.43
SP,Ryan Borucki (10829117),Ryan Borucki,10829117,P,4700,TOR@LAA 06/21/2018 10:07PM ET,TOR,0
2B,Scooter Gennett (10828611),Scooter Gennett,10828611,2B,4600,CHC@CIN 06/21/2018 07:10PM ET,CIN,8.54
OF,A.J. Pollock (10828610),A.J. Pollock,10828610,OF,4600,ARI@PIT 06/21/2018 07:05PM ET,ARI,10.72
SP,Taylor Clarke (10829120),Taylor Clarke,10829120,P,4600,ARI@PIT 06/21/2018 07:05PM ET,ARI,0
RP,Steven Brault (10829121),Steven Brault,10829121,P,4600,ARI@PIT 06/21/2018 07:05PM ET,PIT,6.82
OF,Juan Soto (10828613),Juan Soto,10828613,OF,4500,BAL@WAS 06/21/2018 07:05PM ET,WAS,8.89
SP,Grant Holmes (10829122),Grant Holmes,10829122,P,4500,Postponed,OAK,0
2B/SS,Javier Baez (10828617),Javier Baez,10828617,2B/SS,4500,CHC@CIN 06/21/2018 07:10PM ET,CHC,9.04
SP,Williams Perez (10829127),Williams Perez,10829127,P,4500,CHC@CIN 06/21/2018 07:10PM ET,CHC,0
1B,Brandon Belt (10828614),Brandon Belt,10828614,1B,4500,SD@SF 06/21/2018 10:15PM ET,SF,9.05
SP,Joan Gregorio (10829125),Joan Gregorio,10829125,P,4500,SD@SF 06/21/2018 10:15PM ET,SF,0
SP,Eric Lauer (10829128),Eric Lauer,10829128,P,4500,SD@SF 06/21/2018 10:15PM ET,SD,9.30
SP,John Gant (10829126),John Gant,10829126,P,4500,STL@MIL 06/21/2018 08:10PM ET,STL,9.64
RP,Alec Asher (10829129),Alec Asher,10829129,P,4500,STL@MIL 06/21/2018 08:10PM ET,MIL,6.7
OF,Justin Upton (10828612),Justin Upton,10828612,OF,4500,TOR@LAA 06/21/2018 10:07PM ET,LAA,8.30
SP,John Lamb (10829123),John Lamb,10829123,P,4500,TOR@LAA 06/21/2018 10:07PM ET,LAA,14.85
SP,Sean Reid-Foley (10829124),Sean Reid-Foley,10829124,P,4500,TOR@LAA 06/21/2018 10:07PM ET,TOR,0
SP,Mike Wright Jr. (10829133),Mike Wright Jr.,10829133,P,4400,BAL@WAS 06/21/2018 07:05PM ET,BAL,2.75
SP,Chris Tillman (10829134),Chris Tillman,10829134,P,4400,BAL@WAS 06/21/2018 07:05PM ET,BAL,-1.23
SP,Carson Fulmer (10829132),Carson Fulmer,10829132,P,4400,Postponed,CWS,4.57
SP,Kyle Lloyd (10829130),Kyle Lloyd,10829130,P,4400,SD@SF 06/21/2018 10:15PM ET,SD,0
SP,Tyler Beede (10829131),Tyler Beede,10829131,P,4400,SD@SF 06/21/2018 10:15PM ET,SF,5.22
OF,Marcell Ozuna (10828616),Marcell Ozuna,10828616,OF,4400,STL@MIL 06/21/2018 08:10PM ET,STL,7.32
2B/3B,Matt Carpenter (10828621),Matt Carpenter,10828621,2B/3B,4400,STL@MIL 06/21/2018 08:10PM ET,STL,7.52
OF,Teoscar Hernandez (10828615),Teoscar Hernandez,10828615,OF,4400,TOR@LAA 06/21/2018 10:07PM ET,TOR,9
SP,Felix Pena (10829135),Felix Pena,10829135,P,4400,TOR@LAA 06/21/2018 10:07PM ET,LAA,5.47
SS,Manny Machado (10828619),Manny Machado,10828619,SS,4300,BAL@WAS 06/21/2018 07:05PM ET,BAL,9.32
2B,Daniel Murphy (10828620),Daniel Murphy,10828620,2B,4300,BAL@WAS 06/21/2018 07:05PM ET,WAS,2.38
SP,Lucas Giolito (10828593),Lucas Giolito,10828593,P,4300,Postponed,CWS,4.74
OF,Kyle Schwarber (10828623),Kyle Schwarber,10828623,OF,4300,CHC@CIN 06/21/2018 07:10PM ET,CHC,7.97
RP,Jackson Stephens (10829136),Jackson Stephens,10829136,P,4300,CHC@CIN 06/21/2018 07:10PM ET,CIN,3.46
SP,Jen-Ho Tseng (10829138),Jen-Ho Tseng,10829138,P,4300,CHC@CIN 06/21/2018 07:10PM ET,CHC,2.1
SP,Braden Shipley (10829137),Braden Shipley,10829137,P,4300,ARI@PIT 06/21/2018 07:05PM ET,ARI,4.08
SP,Kris Medlen (10829139),Kris Medlen,10829139,P,4300,ARI@PIT 06/21/2018 07:05PM ET,ARI,-4.8
OF,Adam Eaton (10828624),Adam Eaton,10828624,OF,4200,BAL@WAS 06/21/2018 07:05PM ET,WAS,8.06
SP,Andrew Cashner (10829140),Andrew Cashner,10829140,P,4200,BAL@WAS 06/21/2018 07:05PM ET,BAL,10.87
SP,Keegan Akin (10829141),Keegan Akin,10829141,P,4200,BAL@WAS 06/21/2018 07:05PM ET,BAL,0
RP,Austin Voth (10829143),Austin Voth,10829143,P,4200,BAL@WAS 06/21/2018 07:05PM ET,WAS,0
3B,Matt Chapman (10828625),Matt Chapman,10828625,3B,4200,Postponed,OAK,7.19
2B,Jed Lowrie (10828638),Jed Lowrie,10828638,2B,4200,Postponed,OAK,8
OF,Scott Schebler (10828626),Scott Schebler,10828626,OF,4200,CHC@CIN 06/21/2018 07:10PM ET,CIN,7.58
SP,Trevor Clifton (10829142),Trevor Clifton,10829142,P,4200,CHC@CIN 06/21/2018 07:10PM ET,CHC,0
