Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Blake Snell (11121148),Blake Snell,11121148,P,11500,KC@TB 08/23/2018 07:10PM ET,TB,22.67
SP,Mike Foltynewicz (11121149),Mike Foltynewicz,11121149,P,11100,ATL@MIA 08/23/2018 07:10PM ET,ATL,20.75
SP,Jose Berrios (11121150),Jose Berrios,11121150,P,10900,OAK@MIN 08/23/2018 08:10PM ET,MIN,18.71
SP,Cole Hamels (11120905),Cole Hamels,11120905,P,10400,CIN@CHC 08/23/2018 08:05PM ET,CHC,15.80
SP,Trevor Cahill (11120906),Trevor Cahill,11120906,P,9200,OAK@MIN 08/23/2018 08:10PM ET,OAK,17.91
SP,Kyle Gibson (11121151),Kyle Gibson,11121151,P,9000,OAK@MIN 08/23/2018 08:10PM ET,MIN,16.52
SP,Yu Darvish (11121152),Yu Darvish,11121152,P,8600,CIN@CHC 08/23/2018 08:05PM ET,CHC,13.92
SP,Kyle Hendricks (11121153),Kyle Hendricks,11121153,P,8600,CIN@CHC 08/23/2018 08:05PM ET,CHC,14.47
SP,Tyler Glasnow (11120907),Tyler Glasnow,11120907,P,8400,KC@TB 08/23/2018 07:10PM ET,TB,6.26
SP,Jon Lester (11121154),Jon Lester,11121154,P,8200,CIN@CHC 08/23/2018 08:05PM ET,CHC,13.54
SP,Mike Fiers (11121155),Mike Fiers,11121155,P,8200,OAK@MIN 08/23/2018 08:10PM ET,OAK,15.17
SP,Julio Teheran (11121156),Julio Teheran,11121156,P,8100,ATL@MIA 08/23/2018 07:10PM ET,ATL,15.15
SP,Anthony DeSclafani (11120908),Anthony DeSclafani,11120908,P,8000,CIN@CHC 08/23/2018 08:05PM ET,CIN,15.22
SP,Edwin Jackson (11121157),Edwin Jackson,11121157,P,8000,OAK@MIN 08/23/2018 08:10PM ET,OAK,14.80
SP,Anibal Sanchez (11121158),Anibal Sanchez,11121158,P,8000,ATL@MIA 08/23/2018 07:10PM ET,ATL,17.02
SP,Sean Newcomb (11120909),Sean Newcomb,11120909,P,7800,ATL@MIA 08/23/2018 07:10PM ET,ATL,15.48
SP,Luis Castillo (11121159),Luis Castillo,11121159,P,7600,CIN@CHC 08/23/2018 08:05PM ET,CIN,13.46
RP,Mike Montgomery (11121160),Mike Montgomery,11121160,P,7300,CIN@CHC 08/23/2018 08:05PM ET,CHC,6.04
SP,Jakob Junis (11121161),Jakob Junis,11121161,P,7200,KC@TB 08/23/2018 07:10PM ET,KC,14.01
SP,Fernando Romero (11121163),Fernando Romero,11121163,P,7100,OAK@MIN 08/23/2018 08:10PM ET,MIN,10.70
SP,Kevin Gausman (11121162),Kevin Gausman,11121162,P,7100,ATL@MIA 08/23/2018 07:10PM ET,ATL,13.77
SP,Jose Quintana (11121165),Jose Quintana,11121165,P,7000,CIN@CHC 08/23/2018 08:05PM ET,CHC,13.60
SP,Ervin Santana (11121164),Ervin Santana,11121164,P,7000,OAK@MIN 08/23/2018 08:10PM ET,MIN,3.66
RP,Max Fried (11121166),Max Fried,11121166,P,7000,ATL@MIA 08/23/2018 07:10PM ET,ATL,9.59
SP,Ryan Yarbrough (11121168),Ryan Yarbrough,11121168,P,6900,KC@TB 08/23/2018 07:10PM ET,TB,10.79
SP,Wei-Yin Chen (11121167),Wei-Yin Chen,11121167,P,6900,ATL@MIA 08/23/2018 07:10PM ET,MIA,9.16
SP,Caleb Smith (11121169),Caleb Smith,11121169,P,6900,ATL@MIA 08/23/2018 07:10PM ET,MIA,14.91
SP,Mike Soroka (11121170),Mike Soroka,11121170,P,6900,ATL@MIA 08/23/2018 07:10PM ET,ATL,13.11
SP,Touki Toussaint (11121171),Touki Toussaint,11121171,P,6800,ATL@MIA 08/23/2018 07:10PM ET,ATL,20.5
SP,Jake Odorizzi (11121172),Jake Odorizzi,11121172,P,6700,OAK@MIN 08/23/2018 08:10PM ET,MIN,12.64
SP,Andrew Triggs (11121173),Andrew Triggs,11121173,P,6700,OAK@MIN 08/23/2018 08:10PM ET,OAK,12.02
SP,Matt Harvey (11121174),Matt Harvey,11121174,P,6500,CIN@CHC 08/23/2018 08:05PM ET,CIN,9.75
SP,Daniel Mengden (11121175),Daniel Mengden,11121175,P,6500,OAK@MIN 08/23/2018 08:10PM ET,OAK,11.76
SP,Danny Duffy (11120910),Danny Duffy,11120910,P,6400,KC@TB 08/23/2018 07:10PM ET,KC,12.84
SP,Luiz Gohara (11121176),Luiz Gohara,11121176,P,6400,ATL@MIA 08/23/2018 07:10PM ET,ATL,4.43
