Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Max Scherzer (10794511),Max Scherzer,10794511,P,14400,WAS@NYY 06/13/2018 07:05PM ET,WAS,28.1
SP,Corey Kluber (10794512),Corey Kluber,10794512,P,13600,CLE@CWS 06/13/2018 08:10PM ET,CLE,27.02
SP,Gerrit Cole (10793992),Gerrit Cole,10793992,P,13200,HOU@OAK 06/13/2018 10:05PM ET,HOU,30.00
SP,Justin Verlander (10794513),Justin Verlander,10794513,P,12400,HOU@OAK 06/13/2018 10:05PM ET,HOU,28.43
SP,Luis Severino (10794514),Luis Severino,10794514,P,12300,WAS@NYY 06/13/2018 07:05PM ET,NYY,26.02
SP,Aaron Nola (10794515),Aaron Nola,10794515,P,12000,COL@PHI 06/13/2018 07:05PM ET,PHI,22.75
SP,Clayton Kershaw (10794517),Clayton Kershaw,10794517,P,11800,TEX@LAD 06/13/2018 10:10PM ET,LAD,17.47
SP,Johnny Cueto (10794516),Johnny Cueto,10794516,P,11800,SF@MIA 06/13/2018 07:10PM ET,SF,23
SP,Trevor Bauer (10793993),Trevor Bauer,10793993,P,11500,CLE@CWS 06/13/2018 08:10PM ET,CLE,24.59
SP,Jose Berrios (10793994),Jose Berrios,10793994,P,11200,MIN@DET 06/13/2018 07:10PM ET,MIN,21.16
SP,Mike Clevinger (10794518),Mike Clevinger,10794518,P,11100,CLE@CWS 06/13/2018 08:10PM ET,CLE,17.30
SP,Miles Mikolas (10794519),Miles Mikolas,10794519,P,10900,SD@STL 06/13/2018 08:15PM ET,STL,18.14
SP,Stephen Strasburg (10794520),Stephen Strasburg,10794520,P,10800,WAS@NYY 06/13/2018 07:05PM ET,WAS,21.41
SP,Charlie Morton (10794521),Charlie Morton,10794521,P,10400,HOU@OAK 06/13/2018 10:05PM ET,HOU,22.16
SP,Jack Flaherty (10794522),Jack Flaherty,10794522,P,10200,SD@STL 06/13/2018 08:15PM ET,STL,18.69
SP,Madison Bumgarner (10794523),Madison Bumgarner,10794523,P,10100,SF@MIA 06/13/2018 07:10PM ET,SF,8.25
SP,Carlos Carrasco (10794524),Carlos Carrasco,10794524,P,10000,CLE@CWS 06/13/2018 08:10PM ET,CLE,20.46
SP,Gio Gonzalez (10794525),Gio Gonzalez,10794525,P,9800,WAS@NYY 06/13/2018 07:05PM ET,WAS,19.00
SP,Michael Wacha (10794526),Michael Wacha,10794526,P,9700,SD@STL 06/13/2018 08:15PM ET,STL,18.84
SP,Lance McCullers Jr. (10794527),Lance McCullers Jr.,10794527,P,9600,HOU@OAK 06/13/2018 10:05PM ET,HOU,17.76
SP,Kenta Maeda (10793996),Kenta Maeda,10793996,P,9400,TEX@LAD 06/13/2018 10:10PM ET,LAD,15.58
SP,Carlos Martinez (10794528),Carlos Martinez,10794528,P,9300,SD@STL 06/13/2018 08:15PM ET,STL,15.76
SP,Walker Buehler (10794529),Walker Buehler,10794529,P,9300,TEX@LAD 06/13/2018 10:10PM ET,LAD,19.88
SP,Ervin Santana (10794530),Ervin Santana,10794530,P,9200,MIN@DET 06/13/2018 07:10PM ET,MIN,0
RP,Ross Stripling (10794531),Ross Stripling,10794531,P,9200,TEX@LAD 06/13/2018 10:10PM ET,LAD,11.96
SP,Tyson Ross (10794532),Tyson Ross,10794532,P,9100,SD@STL 06/13/2018 08:15PM ET,SD,15.39
SP,Caleb Smith (10793997),Caleb Smith,10793997,P,9100,SF@MIA 06/13/2018 07:10PM ET,MIA,17.26
SP,Jake Arrieta (10794533),Jake Arrieta,10794533,P,9100,COL@PHI 06/13/2018 07:05PM ET,PHI,14.70
SP,Hyun-Jin Ryu (10794534),Hyun-Jin Ryu,10794534,P,8900,TEX@LAD 06/13/2018 10:10PM ET,LAD,17.22
SP,Danny Salazar (10794535),Danny Salazar,10794535,P,8800,CLE@CWS 06/13/2018 08:10PM ET,CLE,0
SP,Jordan Montgomery (10794536),Jordan Montgomery,10794536,P,8500,WAS@NYY 06/13/2018 07:05PM ET,NYY,11.88
RP,Domingo German (10794537),Domingo German,10794537,P,8500,WAS@NYY 06/13/2018 07:05PM ET,NYY,10.79
SP,Masahiro Tanaka (10794538),Masahiro Tanaka,10794538,P,8400,WAS@NYY 06/13/2018 07:05PM ET,NYY,17.24
RP,Adam Plutko (10794540),Adam Plutko,10794540,P,8300,CLE@CWS 06/13/2018 08:10PM ET,CLE,13.44
