Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Max Scherzer (10823599),Max Scherzer,10823599,P,14400,BAL@WAS 06/20/2018 07:05PM ET,WAS,27.97
SP,Justin Verlander (10823600),Justin Verlander,10823600,P,13300,TB@HOU 06/20/2018 08:10PM ET,HOU,28.18
SP,Gerrit Cole (10823601),Gerrit Cole,10823601,P,13200,TB@HOU 06/20/2018 08:10PM ET,HOU,28.38
SP,Chris Sale (10823602),Chris Sale,10823602,P,12700,BOS@MIN 06/20/2018 08:10PM ET,BOS,25.57
SP,Jacob deGrom (10823603),Jacob deGrom,10823603,P,12600,NYM@COL 06/20/2018 08:40PM ET,NYM,25.62
SP,Luis Severino (10823604),Luis Severino,10823604,P,12300,SEA@NYY 06/20/2018 07:05PM ET,NYY,26.76
SP,Charlie Morton (10823177),Charlie Morton,10823177,P,12200,TB@HOU 06/20/2018 08:10PM ET,HOU,22.34
SP,Lance McCullers Jr. (10823605),Lance McCullers Jr.,10823605,P,11300,TB@HOU 06/20/2018 08:10PM ET,HOU,18.09
SP,Stephen Strasburg (10823606),Stephen Strasburg,10823606,P,10800,BAL@WAS 06/20/2018 07:05PM ET,WAS,21.41
SP,James Paxton (10823607),James Paxton,10823607,P,10700,SEA@NYY 06/20/2018 07:05PM ET,SEA,22.93
SP,Dylan Bundy (10823608),Dylan Bundy,10823608,P,10500,BAL@WAS 06/20/2018 07:05PM ET,BAL,18.82
SP,Noah Syndergaard (10823609),Noah Syndergaard,10823609,P,10500,NYM@COL 06/20/2018 08:40PM ET,NYM,20.14
SP,Gio Gonzalez (10823178),Gio Gonzalez,10823178,P,10200,BAL@WAS 06/20/2018 07:05PM ET,WAS,17.29
SP,Eduardo Rodriguez (10823610),Eduardo Rodriguez,10823610,P,10200,BOS@MIN 06/20/2018 08:10PM ET,BOS,19.24
SP,Cole Hamels (10823611),Cole Hamels,10823611,P,9700,TEX@KC 06/20/2018 08:15PM ET,TEX,17.56
SP,David Price (10823179),David Price,10823179,P,9700,BOS@MIN 06/20/2018 08:10PM ET,BOS,17.68
SP,Blake Snell (10823612),Blake Snell,10823612,P,9500,TB@HOU 06/20/2018 08:10PM ET,TB,21.35
SP,Jose Berrios (10823613),Jose Berrios,10823613,P,9300,BOS@MIN 06/20/2018 08:10PM ET,MIN,20.94
SP,Ervin Santana (10823614),Ervin Santana,10823614,P,9200,BOS@MIN 06/20/2018 08:10PM ET,MIN,0
SP,Rick Porcello (10823615),Rick Porcello,10823615,P,9100,BOS@MIN 06/20/2018 08:10PM ET,BOS,18.14
SP,Jimmy Nelson (10823616),Jimmy Nelson,10823616,P,8700,MIL@PIT 06/20/2018 07:05PM ET,MIL,0
SP,Kevin Gausman (10823617),Kevin Gausman,10823617,P,8500,BAL@WAS 06/20/2018 07:05PM ET,BAL,14.70
SP,Jordan Montgomery (10823618),Jordan Montgomery,10823618,P,8500,SEA@NYY 06/20/2018 07:05PM ET,NYY,11.88
SP,Joe Musgrove (10823619),Joe Musgrove,10823619,P,8500,MIL@PIT 06/20/2018 07:05PM ET,PIT,16.8
SP,Masahiro Tanaka (10823620),Masahiro Tanaka,10823620,P,8400,SEA@NYY 06/20/2018 07:05PM ET,NYY,16.44
SP,Jameson Taillon (10823621),Jameson Taillon,10823621,P,8400,MIL@PIT 06/20/2018 07:05PM ET,PIT,15.11
SP,Jonathan Loaisiga (10823181),Jonathan Loaisiga,10823181,P,8300,SEA@NYY 06/20/2018 07:05PM ET,NYY,23.05
SP,Jon Gray (10823622),Jon Gray,10823622,P,8200,NYM@COL 06/20/2018 08:40PM ET,COL,15.14
SP,Jakob Junis (10823182),Jakob Junis,10823182,P,8200,TEX@KC 06/20/2018 08:15PM ET,KC,15.8
RP,Tyler Glasnow (10823623),Tyler Glasnow,10823623,P,8100,MIL@PIT 06/20/2018 07:05PM ET,PIT,5.64
SP,Tanner Roark (10823624),Tanner Roark,10823624,P,8000,BAL@WAS 06/20/2018 07:05PM ET,WAS,14.18
SP,Freddy Peralta (10823625),Freddy Peralta,10823625,P,7800,MIL@PIT 06/20/2018 07:05PM ET,MIL,25.62
SP,Dallas Keuchel (10823626),Dallas Keuchel,10823626,P,7700,TB@HOU 06/20/2018 08:10PM ET,HOU,13.95
SP,Chase Anderson (10823627),Chase Anderson,10823627,P,7700,MIL@PIT 06/20/2018 07:05PM ET,MIL,11.84
SP,CC Sabathia (10823628),CC Sabathia,10823628,P,7600,SEA@NYY 06/20/2018 07:05PM ET,NYY,14.14
SP,Jeremy Hellickson (10823630),Jeremy Hellickson,10823630,P,7500,BAL@WAS 06/20/2018 07:05PM ET,WAS,14.03
SP,Kyle Gibson (10823629),Kyle Gibson,10823629,P,7500,BOS@MIN 06/20/2018 08:10PM ET,MIN,16.9
RP,Trevor Williams (10823631),Trevor Williams,10823631,P,7400,MIL@PIT 06/20/2018 07:05PM ET,PIT,12.64
RP,Domingo German (10823632),Domingo German,10823632,P,7300,SEA@NYY 06/20/2018 07:05PM ET,NYY,13.89
SP,Chad Kuhl (10823183),Chad Kuhl,10823183,P,7200,MIL@PIT 06/20/2018 07:05PM ET,PIT,13.41
SP,Nick Kingham (10823633),Nick Kingham,10823633,P,7200,MIL@PIT 06/20/2018 07:05PM ET,PIT,17.55
SP,Kyle Freeland (10823634),Kyle Freeland,10823634,P,7100,NYM@COL 06/20/2018 08:40PM ET,COL,16.41
SP,Collin McHugh (10823635),Collin McHugh,10823635,P,7000,TB@HOU 06/20/2018 08:10PM ET,HOU,6.09
SP,Steven Matz (10823638),Steven Matz,10823638,P,6900,NYM@COL 06/20/2018 08:40PM ET,NYM,13.34
SP,Marco Gonzales (10823636),Marco Gonzales,10823636,P,6900,SEA@NYY 06/20/2018 07:05PM ET,SEA,15.17
SP,Sonny Gray (10823637),Sonny Gray,10823637,P,6900,SEA@NYY 06/20/2018 07:05PM ET,NYY,12.10
SP,Junior Guerra (10823639),Junior Guerra,10823639,P,6800,MIL@PIT 06/20/2018 07:05PM ET,MIL,16.13
SP,Chris Archer (10823640),Chris Archer,10823640,P,6700,TB@HOU 06/20/2018 08:10PM ET,TB,15.44
SP,Lance Lynn (10823184),Lance Lynn,10823184,P,6700,BOS@MIN 06/20/2018 08:10PM ET,MIN,12.98
SP,Mike Leake (10823641),Mike Leake,10823641,P,6500,SEA@NYY 06/20/2018 07:05PM ET,SEA,12.09
SP,Brent Suter (10823185),Brent Suter,10823185,P,6500,MIL@PIT 06/20/2018 07:05PM ET,MIL,12.03
SP,Nate Karns (10823642),Nate Karns,10823642,P,6400,TEX@KC 06/20/2018 08:15PM ET,KC,0
SP,Drew Pomeranz (10823643),Drew Pomeranz,10823643,P,6400,BOS@MIN 06/20/2018 08:10PM ET,BOS,7.81
SP,Zack Wheeler (10823645),Zack Wheeler,10823645,P,6300,NYM@COL 06/20/2018 08:40PM ET,NYM,13.52
SP,Michael Pineda (10823644),Michael Pineda,10823644,P,6300,BOS@MIN 06/20/2018 08:10PM ET,MIN,0
SP,Felix Hernandez (10823186),Felix Hernandez,10823186,P,6300,SEA@NYY 06/20/2018 07:05PM ET,SEA,11.82
RP,Wade LeBlanc (10823646),Wade LeBlanc,10823646,P,6300,SEA@NYY 06/20/2018 07:05PM ET,SEA,12.67
SP,Tyler Anderson (10823647),Tyler Anderson,10823647,P,6200,NYM@COL 06/20/2018 08:40PM ET,COL,11.78
SP,Jake Odorizzi (10823648),Jake Odorizzi,10823648,P,6200,BOS@MIN 06/20/2018 08:10PM ET,MIN,13.14
SP,Joe Ross (10823650),Joe Ross,10823650,P,6100,BAL@WAS 06/20/2018 07:05PM ET,WAS,0
SP,Jose De Leon (10823649),Jose De Leon,10823649,P,6100,TB@HOU 06/20/2018 08:10PM ET,TB,0
SP,Seth Lugo (10823187),Seth Lugo,10823187,P,6100,NYM@COL 06/20/2018 08:40PM ET,NYM,7.17
SP,Nathan Eovaldi (10823188),Nathan Eovaldi,10823188,P,6000,TB@HOU 06/20/2018 08:10PM ET,TB,13.28
SP,Brandon Woodruff (10823651),Brandon Woodruff,10823651,P,6000,MIL@PIT 06/20/2018 07:05PM ET,MIL,6.88
SP,Erick Fedde (10823656),Erick Fedde,10823656,P,5900,BAL@WAS 06/20/2018 07:05PM ET,WAS,9.4
SP,Rogelio Armenteros (10823654),Rogelio Armenteros,10823654,P,5900,TB@HOU 06/20/2018 08:10PM ET,HOU,0
SP,Chad Bettis (10823189),Chad Bettis,10823189,P,5900,NYM@COL 06/20/2018 08:40PM ET,COL,12.3
OF,Mookie Betts (10823192),Mookie Betts,10823192,OF,5900,BOS@MIN 06/20/2018 08:10PM ET,BOS,12.8
SP,Fernando Romero (10823653),Fernando Romero,10823653,P,5900,BOS@MIN 06/20/2018 08:10PM ET,MIN,12.29
SP,Hisashi Iwakuma (10823655),Hisashi Iwakuma,10823655,P,5900,SEA@NYY 06/20/2018 07:05PM ET,SEA,0
SP,Jhoulys Chacin (10823652),Jhoulys Chacin,10823652,P,5900,MIL@PIT 06/20/2018 07:05PM ET,MIL,13.97
RP,Brad Peacock (10823657),Brad Peacock,10823657,P,5800,TB@HOU 06/20/2018 08:10PM ET,HOU,4.17
OF,Charlie Blackmon (10823193),Charlie Blackmon,10823193,OF,5800,NYM@COL 06/20/2018 08:40PM ET,COL,9.13
SP,German Marquez (10823658),German Marquez,10823658,P,5800,NYM@COL 06/20/2018 08:40PM ET,COL,12.71
3B,Nolan Arenado (10823194),Nolan Arenado,10823194,3B,5700,NYM@COL 06/20/2018 08:40PM ET,COL,9.72
SP,Ryan Yarbrough (10823660),Ryan Yarbrough,10823660,P,5600,TB@HOU 06/20/2018 08:10PM ET,TB,11.28
SP,Jake Faria (10823664),Jake Faria,10823664,P,5600,TB@HOU 06/20/2018 08:10PM ET,TB,9.56
SP,Ian Kennedy (10823659),Ian Kennedy,10823659,P,5600,TEX@KC 06/20/2018 08:15PM ET,KC,11.07
RP,Adalberto Mejia (10823663),Adalberto Mejia,10823663,P,5600,BOS@MIN 06/20/2018 08:10PM ET,MIN,0
SP,Ariel Miranda (10823661),Ariel Miranda,10823661,P,5600,SEA@NYY 06/20/2018 07:05PM ET,SEA,13.25
SP,A.J. Cole (10823662),A.J. Cole,10823662,P,5600,SEA@NYY 06/20/2018 07:05PM ET,NYY,5.28
