Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Corey Kluber (10815271),Corey Kluber,10815271,P,13600,CWS@CLE 06/18/2018 07:10PM ET,CLE,25.64
SP,Gerrit Cole (10814735),Gerrit Cole,10814735,P,13000,TB@HOU 06/18/2018 08:10PM ET,HOU,29.05
SP,Trevor Bauer (10814736),Trevor Bauer,10814736,P,12400,CWS@CLE 06/18/2018 07:10PM ET,CLE,25.10
SP,Justin Verlander (10815272),Justin Verlander,10815272,P,12400,TB@HOU 06/18/2018 08:10PM ET,HOU,28.14
SP,Charlie Morton (10815273),Charlie Morton,10815273,P,12100,TB@HOU 06/18/2018 08:10PM ET,HOU,22.34
SP,Aaron Nola (10815274),Aaron Nola,10815274,P,12000,STL@PHI 06/18/2018 07:05PM ET,PHI,21.45
SP,Clayton Kershaw (10815276),Clayton Kershaw,10815276,P,11800,LAD@CHC 06/18/2018 08:05PM ET,LAD,17.47
SP,Johnny Cueto (10815275),Johnny Cueto,10815275,P,11800,MIA@SF 06/18/2018 10:15PM ET,SF,23
SP,Robbie Ray (10815277),Robbie Ray,10815277,P,11300,ARI@LAA 06/18/2018 10:07PM ET,ARI,17.41
SP,Jacob deGrom (10814737),Jacob deGrom,10814737,P,11200,NYM@COL 06/18/2018 08:40PM ET,NYM,25.28
SP,Mike Clevinger (10815279),Mike Clevinger,10815279,P,11100,CWS@CLE 06/18/2018 07:10PM ET,CLE,18.65
SP,Blake Snell (10815278),Blake Snell,10815278,P,11100,TB@HOU 06/18/2018 08:10PM ET,TB,21.19
SP,Noah Syndergaard (10815280),Noah Syndergaard,10815280,P,10500,NYM@COL 06/18/2018 08:40PM ET,NYM,20.14
SP,Jack Flaherty (10815281),Jack Flaherty,10815281,P,10200,STL@PHI 06/18/2018 07:05PM ET,STL,18.96
SP,Madison Bumgarner (10815282),Madison Bumgarner,10815282,P,10100,MIA@SF 06/18/2018 10:15PM ET,SF,8.2
SP,Carlos Carrasco (10815283),Carlos Carrasco,10815283,P,10000,CWS@CLE 06/18/2018 07:10PM ET,CLE,18.79
SP,Patrick Corbin (10815284),Patrick Corbin,10815284,P,9900,ARI@LAA 06/18/2018 10:07PM ET,ARI,22.68
RP,Ross Stripling (10815285),Ross Stripling,10815285,P,9800,LAD@CHC 06/18/2018 08:05PM ET,LAD,12.53
SP,Lance McCullers Jr. (10815286),Lance McCullers Jr.,10815286,P,9600,TB@HOU 06/18/2018 08:10PM ET,HOU,18.09
SP,Michael Wacha (10815287),Michael Wacha,10815287,P,9400,STL@PHI 06/18/2018 07:05PM ET,STL,16.76
SP,Kenta Maeda (10814738),Kenta Maeda,10814738,P,9300,LAD@CHC 06/18/2018 08:05PM ET,LAD,14.68
SP,Walker Buehler (10815289),Walker Buehler,10815289,P,9300,LAD@CHC 06/18/2018 08:05PM ET,LAD,19.88
SP,Tyler Skaggs (10815288),Tyler Skaggs,10815288,P,9300,ARI@LAA 06/18/2018 10:07PM ET,LAA,18.96
SP,Carlos Martinez (10815290),Carlos Martinez,10815290,P,9300,STL@PHI 06/18/2018 07:05PM ET,STL,15.07
SP,Cole Hamels (10815291),Cole Hamels,10815291,P,9200,TEX@KC 06/18/2018 08:15PM ET,TEX,16.7
SP,Hyun-Jin Ryu (10815292),Hyun-Jin Ryu,10815292,P,8900,LAD@CHC 06/18/2018 08:05PM ET,LAD,17.22
SP,Danny Salazar (10815293),Danny Salazar,10815293,P,8800,CWS@CLE 06/18/2018 07:10PM ET,CLE,0
SP,Zack Greinke (10814739),Zack Greinke,10814739,P,8700,ARI@LAA 06/18/2018 10:07PM ET,ARI,18.39
SP,Jimmy Nelson (10815294),Jimmy Nelson,10815294,P,8700,MIL@PIT 06/18/2018 07:05PM ET,MIL,0
SP,Andrew Heaney (10815295),Andrew Heaney,10815295,P,8600,ARI@LAA 06/18/2018 10:07PM ET,LAA,17.20
SP,Joe Musgrove (10815296),Joe Musgrove,10815296,P,8500,MIL@PIT 06/18/2018 07:05PM ET,PIT,16.8
SP,Jon Lester (10815297),Jon Lester,10815297,P,8300,LAD@CHC 06/18/2018 08:05PM ET,CHC,16.11
SP,Adam Plutko (10815299),Adam Plutko,10815299,P,8300,CWS@CLE 06/18/2018 07:10PM ET,CLE,11.41
SP,Miles Mikolas (10814740),Miles Mikolas,10814740,P,8300,STL@PHI 06/18/2018 07:05PM ET,STL,18.14
SP,Vince Velasquez (10815298),Vince Velasquez,10815298,P,8300,STL@PHI 06/18/2018 07:05PM ET,PHI,16.31
SP,Clay Buchholz (10815300),Clay Buchholz,10815300,P,8200,ARI@LAA 06/18/2018 10:07PM ET,ARI,14.69
SP,Jaime Barria (10814741),Jaime Barria,10814741,P,8100,ARI@LAA 06/18/2018 10:07PM ET,LAA,15.45
SP,Zack Godley (10815301),Zack Godley,10815301,P,8100,ARI@LAA 06/18/2018 10:07PM ET,ARI,14.49
RP,Tyler Glasnow (10815302),Tyler Glasnow,10815302,P,8100,MIL@PIT 06/18/2018 07:05PM ET,PIT,5.38
SP,Freddy Peralta (10815303),Freddy Peralta,10815303,P,8100,MIL@PIT 06/18/2018 07:05PM ET,MIL,23.28
SP,Jon Gray (10815304),Jon Gray,10815304,P,8000,NYM@COL 06/18/2018 08:40PM ET,COL,15.14
SP,Kyle Hendricks (10815305),Kyle Hendricks,10815305,P,7900,LAD@CHC 06/18/2018 08:05PM ET,CHC,15.10
SP,Chris Stratton (10815306),Chris Stratton,10815306,P,7900,MIA@SF 06/18/2018 10:15PM ET,SF,13.31
SP,Jose Quintana (10815307),Jose Quintana,10815307,P,7800,LAD@CHC 06/18/2018 08:05PM ET,CHC,15.11
SP,Yu Darvish (10815309),Yu Darvish,10815309,P,7800,LAD@CHC 06/18/2018 08:05PM ET,CHC,13.92
SP,Caleb Smith (10814742),Caleb Smith,10814742,P,7800,MIA@SF 06/18/2018 10:15PM ET,MIA,16.8
SP,Garrett Richards (10815308),Garrett Richards,10815308,P,7800,ARI@LAA 06/18/2018 10:07PM ET,LAA,15.74
SP,Carlos Rodon (10815310),Carlos Rodon,10815310,P,7700,CWS@CLE 06/18/2018 07:10PM ET,CWS,13.75
SP,Dallas Keuchel (10815311),Dallas Keuchel,10815311,P,7700,TB@HOU 06/18/2018 08:10PM ET,HOU,13.95
SP,Luke Weaver (10815312),Luke Weaver,10815312,P,7700,STL@PHI 06/18/2018 07:05PM ET,STL,10.07
SP,Jakob Junis (10815314),Jakob Junis,10815314,P,7600,TEX@KC 06/18/2018 08:15PM ET,KC,15.8
SP,Trevor Richards (10815315),Trevor Richards,10815315,P,7600,MIA@SF 06/18/2018 10:15PM ET,MIA,8.94
SP,Jameson Taillon (10815313),Jameson Taillon,10815313,P,7600,MIL@PIT 06/18/2018 07:05PM ET,PIT,15.15
SP,Jhoulys Chacin (10814743),Jhoulys Chacin,10814743,P,7500,MIL@PIT 06/18/2018 07:05PM ET,MIL,14.13
SP,Jake Arrieta (10815316),Jake Arrieta,10815316,P,7400,STL@PHI 06/18/2018 07:05PM ET,PHI,13.22
SP,Alex Wood (10815317),Alex Wood,10815317,P,7300,LAD@CHC 06/18/2018 08:05PM ET,LAD,13.47
SP,Shane Bieber (10815319),Shane Bieber,10815319,P,7300,CWS@CLE 06/18/2018 07:10PM ET,CLE,16.75
SP,Dan Straily (10815318),Dan Straily,10815318,P,7300,MIA@SF 06/18/2018 10:15PM ET,MIA,10.35
SP,Nick Pivetta (10814744),Nick Pivetta,10814744,P,7300,STL@PHI 06/18/2018 07:05PM ET,PHI,15.49
SP,Nick Kingham (10815320),Nick Kingham,10815320,P,7200,MIL@PIT 06/18/2018 07:05PM ET,PIT,17.55
